UTC,Lat,Lon,Alt,Vx,Vy,Vz
15:15:35,32.14102202589295,34.947185829545916,4436.698879325762,-455.3157924879516,-1129.5428555052663,-2096.103534230735
15:15:36,32.14311239999998,34.94488872263581,-3231.3976518288255,-164.21780815686415,523.8770229083564,1021.0636976088894
15:15:37,32.1430685871495,34.9419598072062,4447.059410432354,-456.4607203623529,-1128.694673043709,-2093.9527046269154
15:15:38,32.11770119958166,34.91729437107746,6915.652739831246,-4948.590556449887,-2005.5387984934234,-4738.567190384492
15:15:39,32.138465443614635,34.91430874077204,-8259.33350855112,-11.849066430574133,762.7813278350491,1427.8551949702564
15:15:40,32.13974983858916,34.912022582233284,-1392.6474369242787,-1238.6516118706093,654.9380637514254,2040.4738087294743
15:15:41,32.11872551747042,34.91551144164915,7047.495755259879,-4953.508533583733,-2008.4274244050805,-4743.837957146737
15:15:42,32.11836138095027,34.91895604453356,7295.256579668261,-879.7991714723668,-981.3576357726846,-1522.1721181003193
15:15:43,32.12364289923791,34.94498848284126,-3548.6103403698653,589.2459061212276,462.6437546955577,1572.4984528914572
15:15:44,32.10290128159356,34.94788779743182,-3535.032628543675,589.7619124412942,463.06242329710426,1573.0145086235825
15:15:45,32.081962246137586,34.95099049430966,-3535.7336374288425,590.9850483973572,463.0811041881294,1573.4646397818647
15:15:46,32.08194545614508,34.95094005147328,-3201.046672578901,-163.96915219769028,526.132245108302,1023.4709658582383
15:15:47,32.08238209116796,34.95034252974364,-3229.8360075093806,-163.3897203455759,526.4944671944519,1023.0815942762966
15:15:48,32.08281624592685,34.94974990444625,-3531.1742207705975,590.0831275149917,462.82359293420166,1573.996674533415
15:15:49,32.082421693073044,34.95027999502567,-3228.244011130184,-163.03962622795316,526.7542781338825,1024.0139202103883
15:15:50,32.082423966520324,34.95022993642161,-3225.3697048546746,-162.84292232804736,527.093829200122,1023.6808097058952
15:15:51,32.082873918614496,34.9496210298103,-3526.1615152899176,589.9927984559811,463.1840863552458,1574.4840272022238
15:15:52,32.08287807126069,34.94957827438024,-3207.6125667123124,-162.39874623454807,527.907842232655,1024.0510086368242
15:15:53,32.08289528955892,34.94950286298771,-3219.2682006899267,-162.57948420588835,528.019081699069,1024.0901961604902
15:15:54,32.08332460681411,34.948932957581974,-3217.4961382802576,-161.08807175471128,528.2713370587638,1024.574690395738
15:15:55,32.083377321495384,34.94889857845357,-3194.8273369502276,-161.61097215980388,528.6190106160539,1024.3312582373676
15:15:56,32.08341681595024,34.94890131971024,-3199.6209361068904,-161.82752382110897,530.0280088891733,1024.4292175906905
15:15:57,32.083442727348135,34.94892015826774,-3208.8562379293144,-162.72616901937278,530.7961370573934,1024.3879098230523
15:15:58,32.0834595412741,34.948957422395715,-3220.8634608406574,-162.5103907495336,531.8675350611879,1025.1805077373976
15:15:59,32.10320671896069,34.948141322780884,-3231.273274340667,-162.48766921051836,531.9395051475174,1024.2198486826157
15:16:00,32.122941993268725,34.94731638017688,-3225.023987306282,-161.8377851692805,532.3141326277951,1024.246604105139
15:16:01,32.122930738573515,34.94729551648121,4486.155674342066,-453.8757150159089,-1112.5122557798747,-2062.9172396355148
15:16:02,32.12296635124385,34.947268766472696,4518.368385142647,-453.5900395346651,-1112.1373987991606,-2061.5912147923787
15:16:03,32.12299365880568,34.947290892461346,-3190.0542474901304,-161.38265770025242,533.3906551766817,1025.3953955447914
15:16:04,32.10331234831774,34.94811130289791,-3202.7932356344536,-161.74188392747277,533.631971131587,1025.858210335338
15:16:05,32.084713630352525,34.95234468607042,-3229.055606859736,-161.90979733574082,533.2847587083274,1025.5287167748493
15:16:06,32.084745816433085,34.95239127404782,-3214.9556538965553,-161.79154122900349,533.3930381960334,1025.48539170231
15:16:07,32.08433498611847,34.9529841972793,-6435.027129582129,-1163.4159530222391,295.49935751287524,1203.8150546508364
15:16:08,32.10541875391635,34.94978555435474,-3209.6231682384387,-161.37199293993356,533.8307353921015,1025.8568111559564
15:16:09,32.1054041831331,34.94978453679687,-3541.2305425992236,593.2943203535613,468.7919822690764,1579.1113735105014
